,run_line_name,X1,Y1,X2,Y2
0,B_G_MG_1,715322.675648143,2646858.0301457336,715531.0655551311,2647276.9575977456
1,B_G_MG_2,715331.5317553214,2646853.3858626196,715540.0169392367,2647272.5048503974
2,B_G_MG_3,715340.3878624998,2646848.741579505,715548.9683233424,2647268.0521030487
3,B_G_MG_4,715349.2439696783,2646844.097296391,715557.9197074481,2647263.5993557
4,B_G_MG_5,715358.1000768567,2646839.4530132767,715566.8710915538,2647259.1466083513
5,B_G_MG_6,715366.956184035,2646834.8087301627,715575.8224756594,2647254.6938610026
6,B_G_MG_7,715375.8122912134,2646830.1644470487,715584.773859765,2647250.2411136543
7,B_G_MG_8,715384.6683983919,2646825.520163934,715593.7252438709,2647245.7883663056
8,B_G_MG_9,715393.5245055703,2646820.87588082,715602.6766279765,2647241.335618957
9,B_G_MG_10,715402.3806127487,2646816.231597706,715611.6280120821,2647236.8828716082
10,B_G_MG_11,715411.236719927,2646811.5873145917,715620.5793961878,2647232.43012426
11,B_G_MG_12,715420.0928271055,2646806.9430314777,715629.5307802935,2647227.9773769113
12,B_G_MG_13,715428.9489342839,2646802.2987483633,715638.4821643992,2647223.5246295626
13,B_G_MG_14,715437.8050414623,2646797.6544652493,715647.4335485048,2647219.071882214
14,B_G_MG_15,715446.6611486407,2646793.0101821353,715656.3849326104,2647214.6191348657
15,B_G_MG_16,715455.517255819,2646788.365899021,715665.3363167162,2647210.166387517
16,B_G_MG_17,715464.3733629975,2646783.721615907,715674.2877008219,2647205.7136401683
17,B_G_MG_18,715473.2294701759,2646779.077332793,715683.2390849275,2647201.2608928196
18,B_G_MG_19,715482.0855773543,2646774.4330496783,715692.1904690332,2647196.8081454714
19,B_G_MG_20,715490.9416845327,2646769.7887665643,715701.1418531388,2647192.3553981227
20,B_G_MG_21,715499.7977917112,2646765.14448345,715710.0932372446,2647187.902650774
21,B_G_MG_22,715508.6538988895,2646760.500200336,715719.0446213502,2647183.4499034253
22,B_G_MG_23,715517.5100060679,2646755.855917222,715727.9960054558,2647178.997156077
23,B_G_MG_24,715526.3661132463,2646751.2116341074,715736.9473895616,2647174.5444087284
24,B_G_MG_25,715535.2222204248,2646746.5673509934,715745.8987736673,2647170.0916613797
25,B_G_MG_26,715544.0783276032,2646741.9230678794,715754.8501577729,2647165.638914031
26,B_G_MG_27,715552.9344347815,2646737.278784765,715763.8015418786,2647161.1861666823
27,B_G_MG_28,715561.7905419599,2646732.634501651,715772.7529259842,2647156.733419334
28,B_G_MG_29,715570.6466491384,2646727.9902185365,715781.70431009,2647152.2806719854
29,B_G_MG_30,715579.5027563168,2646723.3459354225,715790.6556941957,2647147.8279246367
30,B_G_MG_31,715588.3588634952,2646718.7016523085,715799.6070783013,2647143.3751772884
31,B_G_MG_32,715597.2149706736,2646714.057369194,715808.558462407,2647138.9224299397
32,B_G_MG_33,715606.0710778519,2646709.41308608,715817.5098465126,2647134.469682591
33,B_G_MG_34,715614.9271850304,2646704.768802966,715826.4612306183,2647130.0169352423
34,B_G_MG_35,715623.7832922088,2646700.1245198515,715835.412614724,2647125.5641878936
35,B_G_MG_36,715632.6393993872,2646695.4802367375,715844.3639988296,2647121.1114405454
36,B_G_MG_37,715641.4955065656,2646690.835953623,715853.3153829353,2647116.6586931967
37,B_G_MG_38,715650.351613744,2646686.191670509,715862.2667670411,2647112.205945848
38,B_G_MG_39,715659.2077209224,2646681.547387395,715865.1486551773,2647110.772388802
39,B_G_WR_1,716010.4145404374,2646551.942075324,716098.1728849775,2647121.710066537
40,B_G_WR_2,716020.36726501,2646550.9708525985,716108.0410923513,2647120.190118846
41,B_G_WR_3,716030.3199895826,2646549.9996298733,716117.9092997251,2647118.6701711547
42,B_G_WR_4,716040.2727141553,2646549.028407148,716127.7775070989,2647117.150223464
43,B_G_WR_5,716050.2254387278,2646548.0571844233,716137.6457144725,2647115.6302757724
44,B_G_WR_6,716060.1781633004,2646547.085961698,716147.5139218462,2647114.1103280815
45,B_G_WR_7,716070.130887873,2646546.114738973,716157.38212922,2647112.59038039
46,B_G_WR_8,716080.0836124456,2646545.1435162476,716167.2503365937,2647111.0704326993
47,B_G_WR_9,716090.0363370182,2646544.1722935224,716177.1185439675,2647109.5504850084
48,B_G_WR_10,716099.9890615909,2646543.201070797,716186.9867513413,2647108.030537317
49,B_G_WR_11,716109.9417861635,2646542.2298480724,716196.854958715,2647106.510589626
50,B_G_WR_12,716119.8945107361,2646541.258625347,716206.7231660888,2647104.990641935
51,B_G_WR_13,716129.8472353086,2646540.287402622,716216.5913734625,2647103.470694244
52,B_G_WR_14,716139.7999598812,2646539.3161798967,716226.4595808362,2647101.950746553
53,B_G_WR_15,716149.7526844539,2646538.3449571715,716236.32778821,2647100.4307988617
54,B_G_WR_16,716159.7054090265,2646537.3737344462,716246.1959955838,2647098.910851171
55,B_G_WR_17,716169.6581335991,2646536.4025117215,716256.0642029574,2647097.3909034794
56,B_G_WR_18,716179.6108581717,2646535.4312889962,716265.9324103312,2647095.8709557885
57,B_G_WR_19,716189.5635827443,2646534.460066271,716275.800617705,2647094.351008097
58,B_G_WR_20,716199.516307317,2646533.488843546,716285.6688250788,2647092.8310604063
59,B_G_WR_21,716209.4690318895,2646532.5176208206,716295.5370324524,2647091.3111127154
60,B_G_WR_22,716219.4217564621,2646531.5463980953,716305.4052398262,2647089.791165024
61,B_G_WR_23,716229.3744810347,2646530.57517537,716315.2734472,2647088.271217333
62,B_G_WR_24,716239.3272056073,2646529.6039526453,716325.1416545736,2647086.751269642
63,B_G_WR_25,716249.2799301799,2646528.63272992,716335.0098619474,2647085.231321951
64,B_G_WR_26,716259.2326547526,2646527.661507195,716344.8780693212,2647083.7113742596
