Inlet No,x,y,chaianage
INL_02,737525,2459512,7.657
INL_03,737188,2460981,9.536
INL_04,736867,2461284,9.976
INL_05,736127,2461811,10.885
INL_06,735387,2462597,12.4
INL_07,735328,2463342,13.306
INL_08,737841,2464949,16.616
INL_09,736553,2465805,19.6
INL_10,733257,2464949,24.37
INL_11,731986,2464104,25.97
